"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"HNRNPK",940.3,799.6,838.2,775.3,830.2,"HNRNPK",NA,NA
"BZW1",255.5,164.7,231.2,201.5,104.8,"BZW1",NA,NA
"BZW1",398.3,309.3,382.3,382.8,342.3,"BZW1",NA,NA
"2-Sep",1032.8,803.3,826.5,798.9,473.7,"2-Sep",NA,NA
"ATF4",1300.1,1588.1,1316.2,1534.5,1624.9,"ATF4",NA,NA
"GNAS",4439.3,4327.1,2817.1,3183.4,2895.4,"GNAS",NA,NA
"RPS15A",6074.1,5459.9,6196.4,4587.9,4938.1,"RPS15A",NA,NA
"ANXA5",1647.2,1104.1,908,1212,1141.8,"ANXA5",NA,NA
"STMN1",120.1,84.1,93.1,47.8,92.3,"STMN1",NA,NA
"LRP1",178.6,78.7,19.2,21.6,57,"LRP1",NA,NA
"LRP1",164.3,125.4,115.6,151.9,166.9,"LRP1",NA,NA
"PSMB7",636.8,384.4,472.9,397.6,435.5,"PSMB7",NA,NA
"PEA15",539.3,412.5,459.8,383.9,290,"PEA15",NA,NA
"PEA15",637.2,919.5,957.8,923.1,894.3,"PEA15",NA,NA
"ECH1",170.7,212.1,163.6,214.2,182.7,"ECH1",NA,NA
"ODC1",558.5,396.5,469.6,361.8,240.5,"ODC1",NA,NA
"IQGAP1",1479.3,1557.4,1805.9,1687.8,1199.2,"IQGAP1",NA,NA
"XRCC6",1007.6,1234.1,1208.4,967.5,1015,"XRCC6",NA,NA
"ACO2",163.6,200.2,159.7,192.4,211,"ACO2",NA,NA
"DAZAP2",1080.1,935.1,763.1,792.8,652.4,"DAZAP2",NA,NA
