"Gene.Symbol","Flu.non.immunized.healthy","Flu.non.immunized.healthy.1","Flu.non.immunized.healthy.2","Flu.non.immunized.healthy.3","Flu.non.immunized.healthy.4","Flu.non.immunized.healthy.5"
"FAM49A",7.355181878,7.51556701833333,8.17750945633333,6.81545955233333,6.606795938,6.42657287733333
"FAM49B",6.113745353,6.06320670266667,6.16108856933333,5.401558207,4.94019726666667,5.12773396533333
"FAM50B",5.113741292,5.060334674,5.182117635,4.651109993,5.685976796,4.813188051
"FAM53B",4.993215192,4.7757755795,5.316307858,4.337766417,4.587134756,4.687473644
"FAM53C",7.81589763,7.507775909,8.024673424,7.264575713,7.502895304,7.329116741
"FAM71B",3.160771665,2.95420023866667,3.02523221766667,2.56340021466667,2.687700376,2.46917953133333
"FAM71C",2.973133949,2.68715309,2.914603338,2.74750808,2.477212411,3.528475753
"FAM71D",3.287217189,3.221894527,2.749541347,2.282146269,2.610841936,2.352238819
"FAM71E1",2.997053152,2.737243016,2.868011216,2.358207662,2.555911683,2.440490769
"FAM71E2",3.4961947185,3.207837166,3.1902583095,2.8525512065,2.9155338635,2.9473604645
"FAM76A",5.416049601,5.10768767,5.447998936,3.867429066,3.8908169575,4.026065098
"FAM76B",7.709527247,7.26488548575,7.8338949515,6.3900769595,5.94982384225,6.60588314375
"FAM81B",4.43533361,4.664620828,3.710148822,3.71096746,4.074235335,2.747086412
"FAM83A",3.601759813,3.5019860825,3.75987021825,3.191495544,3.10194168675,3.04869584275
"FAM83C",3.7086289645,3.10914234,3.2366933565,2.7513818265,2.9706260605,2.7179382895
"FAM83E",2.867211497,3.131957334,3.093805846,2.243555991,2.113820693,2.494852731
"FAM83F",2.817324965,2.760942427,2.784814901,2.539942112,2.567993222,2.973931946
"FAM83H",3.836654979,3.288177174,3.4002618745,2.793889701,2.738188644,3.1152438015
"FAM91A1",6.2455530635,6.4992682235,7.1856629195,5.3256153045,5.57226037,5.723711544
"FAM98B",5.86053326666667,5.948855705,5.65402259,4.64454756366667,4.81744308266667,5.07574160666667
"FAM98C",7.861180661,7.254307727,7.81998377,6.774852587,6.771499884,6.984223518
"FAM9A",3.259148263,2.846790195,2.918179769,2.586309676,2.678041646,2.852596657
"FAM9B",3.133033892,2.793681195,2.9658529665,2.5089823835,2.3367918075,2.234653412
"FAM9C",2.80423577,2.720724159,2.647331244,2.307220938,2.446310423,2.100650551
"FANCA",4.52212938,4.2648594435,4.531101329,3.64940808475,3.621057669,3.46375918825
"FANCB",3.1474763525,3.29347044975,3.2976645615,2.4612022735,2.41954532475,2.56893421325
"FANCC",3.35534673866667,3.53861560233333,3.41195904433333,2.970601985,2.98038037533333,3.20344983033333
"FANCD2",4.187841901,4.08531782325,4.13499327975,3.41650361675,3.635554914,3.471003615
"FANCE",4.655876014,4.948941303,4.284168118,3.374016248,4.717722468,4.291011271
"FANCF",6.672649616,7.0562638915,6.430107502,5.8304996905,6.27734766,5.8375939825
"FANCG",4.653959244,5.106829077,5.033328274,3.696756681,5.194104515,5.373959496
"FANCI",4.88082708766667,5.03342127766667,5.18360394766667,4.14154255233333,4.69436809,4.61723031333333
"FANCL",6.109361025,6.260866279,6.29068885,3.533192968,4.625779162,4.376592882
"FANCM",3.96031927875,4.0220884165,4.03832139675,3.32250781525,3.71832869,3.78643653775
"FANK1",3.853336247,4.302064594,3.811350803,3.387163668,4.406962019,3.556023179
